"","loan_amnt","term","emp_length","home_ownership","annual_inc","addr_state","dti","delinq_2yrs","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc","pub_rec_bankruptcies","fico","is_bad"
"1",5000,3,1,"RENT",24000,"AZ",27.65,0,1,3,0,13648,83.7,9,0,737,0
"2",2500,6,1,"RENT",30000,"GA",1,0,5,3,0,1687,9.4,4,0,742,1
"3",2400,3,1,"RENT",12252,"IL",8.72,0,2,2,0,2956,98.5,10,0,737,0
"4",10000,3,1,"RENT",49200,"CA",20,0,1,10,0,5598,21,37,0,692,0
"5",3000,6,1,"RENT",80000,"OR",17.94,0,0,15,0,27783,53.9,38,0,697,0
"6",5000,3,3,"RENT",36000,"AZ",11.2,0,3,9,0,7963,28.3,12,0,732,0
"7",7000,6,8,"RENT",47004,"NC",23.51,0,1,7,0,17726,85.6,11,0,692,0
"8",3000,3,9,"RENT",48000,"CA",5.35,0,2,4,0,8221,87.5,4,0,662,0
"9",5600,6,4,"OWN",40000,"CA",5.55,0,2,11,0,5210,32.6,13,0,677,1
"10",5375,6,1,"RENT",15000,"TX",18.08,0,0,2,0,9279,36.5,3,0,727,1
"11",6500,6,5,"OWN",72000,"AZ",16.12,0,2,14,0,4032,20.6,23,0,697,0
"12",12000,3,1,"OWN",75000,"CA",10.78,0,0,12,0,23336,67.1,34,0,677,0
"13",9000,3,1,"RENT",30000,"VA",10.08,0,1,4,0,10452,91.7,9,0,712,1
"14",3000,3,3,"RENT",15000,"IL",12.56,0,2,11,0,7323,43.1,11,0,707,0
"15",10000,3,3,"RENT",1e+05,"CA",7.06,0,2,14,0,11997,55.5,29,0,722,1
"16",1000,3,1,"RENT",28000,"MO",20.31,0,1,11,0,6524,81.5,23,0,667,0
"17",10000,3,4,"RENT",42000,"CA",18.6,0,2,14,0,24043,70.2,28,0,672,0
"18",3600,3,1,"MORTGAGE",110000,"CT",10.52,0,0,20,0,22836,16,42,0,762,0
"19",6000,3,1,"MORTGAGE",84000,"UT",18.44,2,0,4,0,0,37.73,14,0,687,0
"20",9200,3,6,"RENT",77385.19,"CA",9.86,0,0,8,0,7314,23.1,28,0,757,0
"21",20250,6,3,"RENT",43370,"TX",26.53,0,3,8,0,17813,85.6,22,0,727,0
"22",21000,3,1,"RENT",105000,"FL",13.22,0,0,7,0,32135,90.3,38,0,707,1
"23",10000,3,1,"OWN",50000,"TX",11.18,0,0,8,0,10056,82.4,21,0,692,0
"24",10000,3,5,"RENT",50000,"CA",16.01,0,0,6,0,17800,91.8,17,0,712,0
"25",6000,3,1,"RENT",76000,"CA",2.4,0,1,7,0,5963,29.7,7,0,692,1
"26",15000,3,2,"MORTGAGE",92000,"IL",29.44,0,0,8,0,13707,93.9,31,0,732,0
"27",15000,3,9,"RENT",60000,"NY",15.22,0,1,7,0,5872,57.6,11,0,697,1
"28",5000,6,2,"RENT",50004,"PA",13.97,3,0,14,0,4345,59.5,22,0,677,1
"29",4000,3,1,"MORTGAGE",106000,"FL",5.63,1,0,12,0,6110,37.7,44,0,682,0
"30",8500,3,1,"RENT",25000,"MN",12.19,0,0,8,0,6441,59.1,12,0,697,0
"31",4375,3,7,"MORTGAGE",17108,"NY",20.34,0,0,6,0,11210,86.9,12,0,737,0
"32",31825,3,5,"MORTGAGE",75000,"NJ",14.03,0,0,12,0,23151,27.4,26,0,762,0
"33",10000,6,2,"RENT",29120,"FL",22.83,0,1,11,0,16158,63.6,31,0,692,0
"34",5000,3,2,"RENT",24044,"OR",11.93,0,0,8,0,2224,29.3,16,0,702,0
"35",7000,3,7,"RENT",34000,"CA",6.35,0,1,6,0,6113,60.5,6,0,677,0
"36",12400,3,1,"RENT",41000,"KY",11.8,0,2,9,0,11095,57.2,12,0,722,0
"37",10800,3,2,"RENT",55596,"CA",5.5,0,0,7,0,2535,13.3,18,0,707,0
"38",15000,3,1,"RENT",45000,"OH",8.48,0,0,7,0,6704,50.4,27,0,732,0
"39",6000,3,1,"RENT",36852,"AZ",10.62,0,1,7,0,7310,66.5,12,0,697,0
"40",12500,6,1,"RENT",27000,"IL",16.04,0,3,6,0,10143,50,24,0,737,0
"41",9600,3,4,"RENT",68004,"SC",6.63,0,0,6,0,2896,18.1,11,0,762,0
"42",12000,3,1,"RENT",62300,"NJ",16.7,0,0,15,0,8601,21,25,0,727,0
"43",3000,3,9,"MORTGAGE",65000,"PA",17.39,0,0,8,0,43936,98.1,22,0,672,0
"44",4400,3,1,"RENT",55000,"RI",20.01,0,0,7,0,25237,99,11,0,692,0
"45",6000,3,1,"MORTGAGE",45600,"LA",5.34,0,1,6,0,3378,32.5,28,0,792,0
"46",14000,3,6,"RENT",80000,"MA",10,0,1,7,0,2219,13.4,40,0,727,0
"47",5000,3,1,"MORTGAGE",1e+05,"OH",16.33,0,0,17,0,74351,62.1,35,0,707,1
"48",10000,3,6,"RENT",27000,"NY",11.47,0,0,7,0,7814,52.3,10,0,702,0
"49",10000,3,1,"RENT",60000,"CT",12.74,0,1,11,0,14019,19.5,18,0,792,0
"50",11000,3,5,"RENT",70000,"CT",10.85,0,0,5,0,11638,36.4,7,0,752,0
"51",15000,3,8,"MORTGAGE",80000,"IL",9.12,0,2,9,0,11845,63.7,28,0,732,1
"52",25600,3,9,"RENT",110000,"CA",15.71,0,0,11,0,26088,62,27,0,727,0
"53",7000,3,1,"RENT",40000,"CA",7.38,0,0,7,0,12168,92.9,12,0,702,0
"54",12000,3,4,"RENT",50000,"CA",20.88,0,2,11,0,15793,90.8,11,0,677,1
"55",12000,3,1,"RENT",46000,"TX",8.11,0,1,11,0,12143,52.1,12,0,732,0
"56",21000,6,7,"RENT",50000,"WA",21.58,0,1,7,0,19448,97.6,14,0,682,1
"57",16000,6,7,"RENT",81000,"MA",20.52,0,3,12,0,27884,75.1,21,0,667,0
"58",10000,3,1,"OWN",39000,"OR",18.58,0,0,5,0,12874,72.7,10,0,687,0
"59",10000,3,2,"RENT",51400,"TX",19.14,0,3,10,0,10160,59.1,24,0,717,0
"60",7100,3,1,"MORTGAGE",33000,"TX",24,0,2,4,0,6021,91.2,8,0,682,0
"61",13000,6,1,"MORTGAGE",30000,"NJ",13.72,0,0,17,0,17080,58.9,27,0,732,0
"62",17500,6,6,"RENT",40000,"CA",19.47,0,1,5,0,10724,58.9,6,0,707,0
"63",17675,6,1,"RENT",50000,"WI",16.46,0,2,6,0,6661,57.4,14,0,722,0
"64",8000,3,1,"RENT",62000,"VA",21.64,0,3,14,0,6088,66.9,20,0,662,0
"65",10000,6,1,"RENT",45996,"OH",21.73,0,1,7,0,11170,30.1,15,0,757,1
"66",3500,3,7,"MORTGAGE",55000,"OH",5.39,0,1,9,0,6611,45.9,12,0,702,0
"67",12500,6,5,"RENT",30000,"MN",13.16,0,0,7,1,9844,70.8,28,1,692,1
"68",16425,3,4,"RENT",44544,"CA",22.71,0,1,10,0,15747,83.4,18,0,697,0
"69",8200,6,4,"RENT",75000,"CA",12.48,0,3,6,0,9012,73.9,11,0,677,1
"70",15000,3,2,"OWN",61000,"FL",11.88,0,1,8,0,19397,79.5,18,0,687,0
"71",20975,6,5,"MORTGAGE",44000,"GA",18.79,0,0,13,1,20657,79.4,21,1,687,0
"72",6400,3,5,"RENT",75000,"CA",20.22,0,0,9,0,7159,67.5,27,0,662,1
"73",3000,3,1,"RENT",33600,"AL",18.11,0,0,4,0,2745,83.2,7,0,672,0
"74",12000,3,3,"RENT",50000,"MA",20.57,0,1,13,0,11443,97,19,0,677,0
"75",14400,3,1,"OWN",150000,"NY",14.85,0,0,12,0,63864,55,38,0,722,0
"76",12000,3,1,"RENT",90000,"NJ",16.56,0,2,12,0,17116,78.5,36,0,677,0
"77",11000,3,1,"MORTGAGE",48000,"TX",21.82,0,3,15,0,11382,65,29,0,692,0
"78",7250,6,1,"RENT",75000,"CA",24.82,0,2,9,1,21706,91.2,19,1,682,0
"79",15000,3,1,"MORTGAGE",52000,"TX",9.65,0,1,11,0,1616,6.7,29,0,767,0
"80",18000,6,1,"MORTGAGE",65000,"FL",6.81,0,0,10,0,11745,77.8,40,0,662,0
"81",35000,6,3,"MORTGAGE",150000,"NY",7.51,0,1,11,0,7334,53.3,31,0,727,0
"82",10000,3,2,"RENT",68000,"PA",15.39,0,1,9,0,11303,81.3,15,0,682,0
"83",11800,3,6,"RENT",42000,"NY",9.86,0,0,4,0,8940,74.8,13,0,692,0
"84",4500,3,4,"RENT",53000,"CA",4.44,0,0,7,0,8630,13.9,17,0,762,0
"85",7000,3,1,"RENT",35000,"CA",11.35,0,2,10,0,7649,82.3,26,0,682,0
"86",9200,3,2,"RENT",60000,"CA",19.96,0,3,8,0,23299,78.7,19,0,702,0
"87",14000,6,4,"RENT",28000,"WA",6.34,0,2,5,0,6986,79.4,10,0,702,0
"88",4500,6,1,"MORTGAGE",42000,"TX",5.4,0,0,4,0,8220,78.3,9,0,752,0
"89",12000,3,9,"RENT",88365,"AZ",16.85,0,0,6,0,22936,96.4,15,0,682,0
"90",12000,3,4,"RENT",72000,"CA",21.33,0,1,11,0,3419,27.6,19,0,687,0
"91",12000,3,1,"RENT",62000,"TX",23.94,0,0,10,0,20310,78.4,51,0,702,0
"92",7000,3,3,"MORTGAGE",43680,"MN",5.38,0,0,7,0,6245,78.1,11,0,687,0
"93",8200,6,3,"RENT",120000,"NY",2.8,0,2,5,0,10392,88.4,6,0,687,0
"94",10500,3,1,"RENT",66000,"CA",20.73,1,2,8,0,5790,51.2,26,0,697,0
"95",7000,3,4,"OWN",39120,"FL",21.01,0,0,8,1,9414,52.4,26,0,677,0
"96",15300,6,6,"RENT",85000,"VA",20.58,0,2,14,0,26524,89.7,27,0,672,0
"97",20000,6,4,"MORTGAGE",47800,"VA",10.04,0,0,15,0,16447,46.3,27,0,742,0
"98",17500,6,7,"MORTGAGE",45000,"WA",21.31,0,2,13,0,20129,86.1,26,0,702,1
"99",3500,3,1,"MORTGAGE",83000,"IL",2.31,0,0,6,0,3092,13.4,28,0,747,0
"100",6000,6,1,"RENT",81000,"CO",13.66,1,0,6,0,15102,50,17,0,697,0
"101",6200,3,2,"RENT",25000,"CA",20.64,0,2,7,0,6533,47.7,12,0,712,1
"102",16000,6,7,"RENT",65000,"KS",15.56,0,0,8,0,21166,87.1,16,0,697,0
"103",6000,3,8,"OWN",28800,"NJ",13.17,0,0,11,0,5269,36.8,13,0,702,0
"104",7200,3,6,"RENT",135000,"NY",6.12,0,0,7,0,16627,79.6,18,0,697,0
"105",9500,3,7,"MORTGAGE",50000,"TX",8.18,0,0,8,0,13422,60.5,13,0,722,0
"106",18825,6,1,"RENT",38000,"TX",23.18,0,0,6,0,11004,79.7,7,0,702,1
"107",24000,3,1,"RENT",45000,"CA",14.8,0,0,5,0,24708,55.2,9,0,727,0
"108",6000,3,1,"RENT",80000,"CA",11.58,0,0,8,0,15499,83.8,16,0,667,0
"109",6000,3,5,"RENT",50000,"AZ",15.38,0,1,6,0,15191,91.5,7,0,692,0
"110",2100,3,1,"MORTGAGE",30000,"LA",19.72,0,1,12,0,12183,82.9,26,0,692,0
"111",5500,3,8,"MORTGAGE",110000,"CT",9.69,0,0,7,0,14136,21.9,26,0,742,0
"112",11000,3,8,"OWN",45608,"LA",20.5,0,0,7,0,10677,58.7,11,0,737,0
"113",26800,6,3,"MORTGAGE",120000,"FL",12.15,0,0,13,0,14772,48,18,0,682,0
"114",8000,3,5,"MORTGAGE",35000,"IL",10.05,0,0,7,0,6842,97.7,18,0,707,0
"115",10000,3,1,"RENT",75000,"CA",24.14,0,0,9,0,22828,96.3,26,0,667,1
"116",8000,3,9,"MORTGAGE",35000,"NV",9.7,0,0,7,0,6142,46.5,8,0,692,0
"117",10000,3,6,"RENT",24000,"CA",7,0,0,6,0,6734,49.5,21,0,712,0
"118",12000,3,2,"MORTGAGE",126000,"OH",13.32,0,0,17,0,32711,54.1,38,0,697,0
"119",10000,3,1,"RENT",43000,"CA",25.26,0,0,8,0,8215,37.2,16,0,732,0
"120",12000,3,1,"RENT",50000,"CA",16.44,0,1,11,0,14335,29.3,25,0,727,0
"121",25000,6,1,"MORTGAGE",67000,"AK",14.15,0,0,6,0,15319,91.2,21,0,742,1
"122",19750,3,4,"RENT",45000,"OR",22.8,0,0,12,0,16576,54.2,28,0,722,1
"123",10000,3,3,"RENT",31200,"NY",14.81,0,0,13,0,5540,27,19,0,712,0
"124",13650,3,4,"RENT",66000,"NV",24.09,0,0,11,0,8933,56.5,34,0,677,0
"125",28000,6,1,"RENT",52000,"TX",20.7,0,0,10,0,29178,87.6,16,0,687,1
"126",18000,3,1,"RENT",56964,"CA",27.55,0,0,7,0,17381,76.6,20,0,722,0
"127",2500,3,7,"RENT",49500,"FL",10.33,0,1,7,0,9868,37.7,20,0,672,0
"128",21000,6,1,"RENT",70000,"CO",23.21,0,2,17,0,12508,70.7,25,0,672,0
"129",35000,3,6,"MORTGAGE",125000,"CA",22.71,0,0,8,0,9051,34.8,32,0,742,0
"130",10000,3,3,"RENT",33000,"NJ",9.75,0,1,9,0,68,0.6,19,0,747,0
"131",7000,3,1,"RENT",30000,"VA",15.8,0,2,7,0,15455,47.6,11,0,677,0
"132",24000,3,8,"MORTGAGE",90000,"CA",9.17,0,1,9,0,30952,71.2,23,0,717,1
"133",10625,3,5,"MORTGAGE",23000,"OR",18.89,0,1,9,0,7114,43.4,21,0,732,0
"134",5000,3,2,"RENT",24000,"PA",18.3,0,2,5,0,2429,33.3,9,0,672,0
"135",8850,3,1,"RENT",62000,"MD",17.71,0,0,7,0,9466,35.9,19,0,737,0
"136",6375,3,4,"RENT",44000,"GA",4.8,0,0,7,0,6324,58,11,0,732,0
"137",6000,3,1,"RENT",90000,"NJ",2.97,1,0,10,0,8489,56.6,23,0,682,0
"138",11100,3,1,"RENT",41000,"PA",29.85,0,1,8,0,17518,62.3,18,0,757,1
"139",10000,6,2,"MORTGAGE",56000,"CA",10.82,0,1,11,0,10081,31.2,18,0,737,0
"140",6200,3,5,"MORTGAGE",26500,"WV",18.2,0,0,6,0,2982,16,18,0,772,0
