last_fico_range_high,fico_range_high,last_pymnt_delta,is_bad
744,739,1127.0,0.0
499,744,487.0,1.0
719,739,913.0,0.0
604,694,1127.0,0.0
694,699,1766.0,0.0
679,734,1127.0,0.0
654,694,1613.0,0.0
689,664,1127.0,0.0
499,679,122.0,1.0
519,729,336.0,1.0
734,699,548.0,0.0
669,679,640.0,0.0
619,714,213.0,1.0
734,709,1127.0,0.0
654,724,670.0,1.0
769,669,1127.0,0.0
639,674,1127.0,0.0
794,764,517.0,0.0
559,689,1158.0,0.0
644,759,213.0,0.0
684,729,1339.0,0.0
534,709,640.0,1.0
779,694,1127.0,0.0
684,714,670.0,0.0
499,694,305.0,1.0
734,734,275.0,0.0
579,679,366.0,1.0
689,684,487.0,0.0
599,699,1096.0,0.0
734,739,1127.0,0.0
659,764,609.0,0.0
564,694,1736.0,0.0
704,704,1127.0,0.0
734,679,1127.0,0.0
784,724,1127.0,0.0
679,709,701.0,0.0
739,734,762.0,0.0
749,699,852.0,0.0
604,739,1766.0,0.0
829,764,1127.0,0.0
774,729,1127.0,0.0
689,674,1127.0,0.0
594,694,1127.0,0.0
784,794,213.0,0.0
734,729,1127.0,0.0
639,709,974.0,1.0
689,704,1127.0,0.0
789,794,213.0,0.0
794,754,1127.0,0.0
614,734,1035.0,1.0
659,729,1127.0,0.0
699,704,1127.0,0.0
579,679,244.0,1.0
784,734,943.0,0.0
614,684,1035.0,1.0
714,669,670.0,0.0
689,689,578.0,0.0
749,719,244.0,0.0
649,684,1127.0,0.0
709,734,1492.0,0.0
664,709,1523.0,0.0
599,724,609.0,0.0
649,664,1096.0,0.0
629,759,1217.0,1.0
664,704,1127.0,0.0
659,694,793.0,1.0
609,699,336.0,0.0
684,679,548.0,1.0
669,689,1005.0,0.0
679,689,852.0,0.0
499,664,670.0,1.0
699,674,275.0,0.0
669,679,1127.0,0.0
689,724,1127.0,0.0
629,679,183.0,0.0
684,694,1035.0,0.0
729,684,275.0,0.0
729,769,244.0,0.0
709,664,1035.0,0.0
694,729,793.0,0.0
694,684,213.0,0.0
669,694,1127.0,0.0
839,764,1127.0,0.0
574,684,1127.0,0.0
789,704,578.0,0.0
669,704,1766.0,0.0
754,754,366.0,0.0
499,684,701.0,0.0
699,689,852.0,0.0
679,704,275.0,0.0
819,689,428.0,0.0
714,689,1096.0,0.0
699,699,305.0,0.0
704,679,548.0,0.0
679,674,1766.0,0.0
784,744,701.0,0.0
544,704,487.0,1.0
734,749,1127.0,0.0
749,699,1766.0,0.0
574,714,366.0,1.0
684,699,1644.0,0.0
669,704,1127.0,0.0
644,699,1127.0,0.0
629,724,578.0,0.0
644,704,1005.0,1.0
744,729,1127.0,0.0
669,669,1127.0,0.0
704,694,1127.0,0.0
609,694,1096.0,0.0
839,744,1127.0,0.0
604,739,1127.0,0.0
684,684,456.0,0.0
634,709,456.0,0.0
614,669,1127.0,1.0
744,694,882.0,0.0
734,714,456.0,0.0
734,699,882.0,0.0
714,734,1127.0,0.0
709,729,1127.0,0.0
604,744,1186.0,1.0
499,724,640.0,1.0
779,714,397.0,0.0
679,679,731.0,0.0
554,689,913.0,1.0
799,724,1127.0,0.0
674,674,62.0,0.0
689,674,609.0,0.0
714,744,1127.0,0.0
719,749,731.0,0.0
614,679,1127.0,0.0
549,719,244.0,1.0
719,734,913.0,0.0
664,674,397.0,0.0
739,739,1127.0,0.0
694,734,366.0,0.0
699,684,821.0,0.0
634,759,701.0,1.0
729,739,1035.0,0.0
789,774,1127.0,0.0
689,664,882.0,0.0
599,684,1127.0,0.0
669,684,122.0,0.0
709,744,640.0,0.0
739,749,1127.0,0.0
649,729,882.0,1.0
724,669,882.0,0.0
614,679,609.0,0.0
679,694,943.0,0.0
669,694,1370.0,0.0
804,719,1158.0,0.0
594,699,578.0,1.0
689,689,821.0,0.0
569,734,670.0,1.0
619,689,1158.0,0.0
524,679,244.0,1.0
704,684,731.0,0.0
774,764,517.0,0.0
719,714,1127.0,0.0
649,694,1127.0,0.0
674,739,1431.0,0.0
594,674,548.0,0.0
784,734,943.0,0.0
644,744,731.0,0.0
764,679,244.0,0.0
649,744,1096.0,0.0
759,699,731.0,0.0
669,784,1552.0,0.0
524,734,731.0,1.0
699,729,1005.0,0.0
669,714,1127.0,0.0
674,694,1005.0,0.0
709,689,1127.0,0.0
754,684,1127.0,0.0
699,699,305.0,0.0
614,694,821.0,1.0
609,669,762.0,1.0
544,669,305.0,1.0
714,689,762.0,0.0
684,739,244.0,1.0
674,704,366.0,0.0
679,709,1127.0,0.0
629,669,852.0,1.0
594,669,609.0,1.0
679,724,1644.0,0.0
744,764,670.0,0.0
634,709,1127.0,0.0
644,719,1613.0,0.0
644,699,882.0,1.0
759,714,1127.0,0.0
714,704,1127.0,0.0
529,719,1127.0,0.0
684,689,1523.0,0.0
684,719,31.0,0.0
709,754,1005.0,0.0
579,694,305.0,1.0
784,739,1005.0,0.0
684,699,1127.0,0.0
744,724,1127.0,0.0
744,719,762.0,0.0
749,684,1127.0,0.0
679,699,1127.0,0.0
669,674,1127.0,0.0
554,704,517.0,1.0
534,684,213.0,1.0
719,719,1127.0,0.0
689,719,1127.0,0.0
734,689,578.0,0.0
699,694,793.0,0.0
739,694,1400.0,0.0
679,684,1127.0,0.0
654,694,1127.0,0.0
499,704,913.0,1.0
694,664,1035.0,0.0
779,754,1127.0,0.0
714,704,1127.0,0.0
554,684,1127.0,0.0
749,699,1644.0,0.0
714,699,1736.0,0.0
694,704,1127.0,0.0
654,699,701.0,1.0
499,694,1127.0,0.0
774,694,244.0,0.0
699,674,366.0,0.0
534,724,1066.0,1.0
499,734,428.0,1.0
499,734,1035.0,1.0
654,724,244.0,0.0
664,669,62.0,0.0
624,699,428.0,0.0
669,689,701.0,0.0
504,689,578.0,1.0
814,744,1127.0,0.0
734,694,1127.0,0.0
689,719,1127.0,0.0
654,739,1127.0,0.0
724,749,1096.0,0.0
679,669,701.0,0.0
724,679,91.0,0.0
589,744,1492.0,1.0
499,679,1127.0,0.0
709,719,1005.0,0.0
629,704,1766.0,0.0
709,679,1127.0,0.0
794,709,1035.0,0.0
739,684,1127.0,0.0
689,724,731.0,0.0
744,729,731.0,0.0
699,694,1096.0,0.0
624,694,336.0,0.0
664,684,397.0,0.0
589,689,456.0,1.0
804,779,1096.0,0.0
739,709,943.0,0.0
744,699,1005.0,0.0
654,724,852.0,1.0
679,739,1127.0,0.0
804,714,1400.0,0.0
719,749,152.0,0.0
784,704,731.0,0.0
674,724,1035.0,0.0
659,724,1705.0,0.0
754,674,213.0,0.0
654,699,852.0,0.0
784,744,701.0,0.0
604,699,670.0,0.0
634,719,821.0,1.0
699,694,1127.0,0.0
774,724,91.0,0.0
724,749,305.0,0.0
524,734,762.0,1.0
759,704,1035.0,0.0
544,739,974.0,0.0
604,729,91.0,1.0
814,794,731.0,0.0
759,754,305.0,0.0
784,739,305.0,0.0
689,744,548.0,0.0
599,744,456.0,1.0
734,689,336.0,0.0
604,679,913.0,0.0
769,754,762.0,0.0
719,744,793.0,0.0
744,689,1127.0,0.0
779,744,336.0,0.0
699,714,1736.0,0.0
709,669,1127.0,0.0
719,699,974.0,0.0
529,734,974.0,0.0
719,714,487.0,0.0
664,719,1127.0,0.0
649,674,487.0,0.0
709,709,1127.0,0.0
684,744,1127.0,0.0
624,709,1127.0,0.0
714,749,670.0,0.0
664,709,305.0,0.0
539,684,1127.0,0.0
664,704,1127.0,0.0
544,669,487.0,1.0
614,759,670.0,1.0
599,704,670.0,1.0
684,709,1127.0,0.0
659,689,1127.0,0.0
579,669,821.0,1.0
674,684,793.0,0.0
714,689,1400.0,0.0
724,759,821.0,0.0
719,714,882.0,0.0
669,724,1127.0,0.0
689,674,397.0,0.0
559,749,1127.0,0.0
769,734,305.0,0.0
614,684,670.0,1.0
539,689,1217.0,1.0
594,699,943.0,0.0
709,769,1096.0,0.0
694,719,305.0,1.0
554,709,1339.0,1.0
659,684,1127.0,0.0
739,669,1127.0,0.0
684,729,1736.0,0.0
684,684,1127.0,0.0
664,694,1370.0,0.0
629,699,183.0,1.0
724,754,670.0,0.0
704,699,1674.0,0.0
719,679,1736.0,0.0
524,709,456.0,1.0
724,679,1127.0,0.0
739,694,943.0,0.0
714,694,762.0,0.0
679,729,913.0,0.0
804,754,1736.0,0.0
749,699,1127.0,0.0
709,704,1736.0,0.0
769,729,305.0,0.0
669,699,731.0,0.0
639,729,1736.0,0.0
544,699,183.0,1.0
619,769,305.0,1.0
584,699,1127.0,0.0
629,674,1096.0,0.0
689,679,1127.0,0.0
524,699,305.0,1.0
759,669,1127.0,0.0
674,714,1127.0,0.0
589,674,1523.0,0.0
499,699,670.0,1.0
719,679,91.0,0.0
729,714,913.0,0.0
714,729,1127.0,0.0
814,694,397.0,0.0
739,734,305.0,0.0
804,774,1127.0,0.0
749,709,701.0,0.0
659,739,517.0,1.0
754,714,670.0,0.0
779,764,852.0,0.0
704,679,640.0,0.0
714,714,1127.0,0.0
624,674,1736.0,0.0
634,689,1096.0,1.0
734,694,336.0,0.0
614,669,1127.0,0.0
624,699,183.0,1.0
659,714,1127.0,0.0
599,719,1736.0,0.0
694,709,1127.0,0.0
744,724,1127.0,0.0
744,679,943.0,0.0
694,694,1127.0,0.0
679,709,913.0,0.0
739,719,731.0,0.0
779,714,428.0,0.0
504,689,1552.0,0.0
579,719,640.0,1.0
759,769,1127.0,0.0
674,684,974.0,0.0
554,719,1127.0,0.0
634,739,731.0,1.0
539,699,122.0,1.0
754,689,1127.0,0.0
784,709,731.0,0.0
734,699,1127.0,0.0
749,724,1127.0,0.0
809,724,1127.0,0.0
794,744,913.0,0.0
589,799,793.0,1.0
709,744,1552.0,0.0
714,669,762.0,0.0
599,684,1492.0,0.0
719,734,1127.0,0.0
789,709,1127.0,0.0
664,689,152.0,0.0
624,724,1127.0,0.0
714,679,1127.0,0.0
664,674,1127.0,0.0
699,719,1461.0,0.0
644,674,1127.0,0.0
754,739,852.0,0.0
704,674,1096.0,0.0
709,674,1127.0,0.0
704,679,1492.0,0.0
719,694,366.0,0.0
589,694,670.0,0.0
779,679,1127.0,0.0
674,674,913.0,0.0
749,704,670.0,0.0
669,709,1096.0,0.0
764,694,1096.0,0.0
729,734,640.0,0.0
654,679,275.0,1.0
649,704,1127.0,0.0
594,734,275.0,1.0
664,694,1005.0,0.0
684,689,731.0,0.0
544,729,1766.0,0.0
709,734,1096.0,0.0
554,724,1096.0,0.0
724,764,974.0,0.0
669,734,1096.0,0.0
499,689,31.0,1.0
679,724,548.0,0.0
524,689,213.0,1.0
699,674,1339.0,0.0
669,664,793.0,0.0
704,729,1096.0,0.0
709,734,1096.0,0.0
729,719,1370.0,0.0
549,749,1158.0,1.0
754,704,1644.0,0.0
699,684,913.0,0.0
499,739,731.0,1.0
669,759,213.0,0.0
664,704,1066.0,1.0
699,674,1705.0,0.0
509,719,1096.0,0.0
684,709,578.0,0.0
729,759,1096.0,0.0
724,709,731.0,0.0
809,794,1096.0,0.0
754,794,1005.0,0.0
719,724,517.0,0.0
679,734,1096.0,0.0
824,769,1096.0,0.0
734,714,366.0,0.0
714,734,731.0,0.0
669,699,793.0,0.0
679,694,244.0,0.0
689,669,943.0,0.0
659,719,943.0,0.0
699,694,1127.0,0.0
774,724,1736.0,0.0
824,699,1096.0,0.0
609,694,456.0,0.0
694,724,1005.0,0.0
779,794,487.0,0.0
599,664,428.0,1.0
539,699,1096.0,0.0
739,739,974.0,0.0
604,714,1096.0,0.0
504,699,1217.0,1.0
779,764,244.0,0.0
584,709,640.0,1.0
674,674,609.0,0.0
504,674,62.0,1.0
739,689,305.0,0.0
689,714,1096.0,0.0
679,689,1035.0,0.0
679,694,1096.0,0.0
829,764,517.0,0.0
624,724,305.0,0.0
789,724,548.0,0.0
734,764,913.0,0.0
684,684,913.0,0.0
599,669,731.0,1.0
694,664,428.0,0.0
649,709,152.0,0.0
799,719,213.0,0.0
619,734,670.0,1.0
704,704,487.0,0.0
744,729,1096.0,0.0
814,739,670.0,0.0
644,684,213.0,1.0
644,729,1736.0,0.0
744,759,456.0,0.0
754,749,1096.0,0.0
644,684,1674.0,1.0
649,754,882.0,1.0
594,729,62.0,0.0
589,699,1066.0,0.0
724,729,1736.0,0.0
664,739,731.0,0.0
594,679,1127.0,0.0
734,729,1736.0,0.0
669,689,152.0,1.0
689,739,762.0,0.0
544,689,1096.0,0.0
799,814,852.0,0.0
679,694,456.0,0.0
799,699,1096.0,0.0
674,694,1096.0,0.0
639,669,305.0,0.0
699,719,548.0,0.0
519,719,701.0,1.0
644,739,913.0,0.0
699,729,1096.0,0.0
764,734,1096.0,0.0
739,689,1096.0,0.0
739,729,578.0,0.0
744,689,882.0,0.0
699,739,1736.0,0.0
569,694,1096.0,0.0
649,719,366.0,1.0
799,684,1096.0,0.0
759,694,670.0,0.0
659,669,821.0,0.0
764,709,793.0,0.0
654,719,1431.0,0.0
709,699,428.0,0.0
