zip_code,sub_grade,grade,int_rate,term,fico_range_low,fico_range_high,inq_last_6mths,revol_util,addr_state,annual_inc,pub_rec,mths_since_last_record,loan_amnt,dti,emp_length,is_bad
860xx,B2,B,10.65,3,735,739,1,83.7,AZ,24e3,0,0,5000,27.65,1,0
309xx,C4,C,15.27,6,740,744,5,9.4,GA,3e4,0,0,2500,1.0,1,1
606xx,C5,C,15.96,3,735,739,2,98.5,IL,12252.0,0,0,2400,8.72,1,0
917xx,C1,C,13.49,3,690,694,1,21.0,CA,49200.0,0,0,10000,20.0,1,0
972xx,B5,B,12.69,6,695,699,0,53.9,OR,8e4,0,0,3000,17.94,1,0
852xx,A4,A,7.9,3,730,734,3,28.3,AZ,36e3,0,0,5000,11.2,3,0
280xx,C5,C,15.96,6,690,694,1,85.6,NC,47004.0,0,0,7000,23.51,8,0
900xx,E1,E,18.64,3,660,664,2,87.5,CA,48e3,0,0,3000,5.35,9,0
958xx,F2,F,21.28,6,675,679,2,32.6,CA,4e4,0,0,5600,5.55,4,1
774xx,B5,B,12.69,6,725,729,0,36.5,TX,15e3,0,0,5375,18.08,1,1
853xx,C3,C,14.65,6,695,699,2,20.6,AZ,72e3,0,0,6500,16.12,5,0
913xx,B5,B,12.69,3,675,679,0,67.1,CA,75e3,0,0,12000,10.78,1,0
245xx,C1,C,13.49,3,710,714,1,91.7,VA,3e4,0,0,9000,10.08,1,1
606xx,B1,B,9.91,3,705,709,2,43.1,IL,15e3,0,0,3000,12.56,3,0
951xx,B2,B,10.65,3,720,724,2,55.5,CA,1e5,0,0,10000,7.06,3,1
641xx,D1,D,16.29,3,665,669,1,81.5,MO,28e3,0,0,1000,20.31,1,0
921xx,C4,C,15.27,3,670,674,2,70.2,CA,42e3,0,0,10000,18.6,4,0
067xx,A1,A,6.03,3,760,764,0,16.0,CT,11e4,0,0,3600,10.52,1,0
890xx,B3,B,11.71,3,685,689,0,37.73,UT,84e3,0,0,6000,18.44,1,0
921xx,A1,A,6.03,3,755,759,0,23.1,CA,77385.19,0,0,9200,9.86,6,0
770xx,C4,C,15.27,6,725,729,3,85.6,TX,43370.0,0,0,20250,26.53,3,0
335xx,B4,B,12.42,3,705,709,0,90.3,FL,105e3,0,0,21000,13.22,1,1
799xx,B3,B,11.71,3,690,694,0,82.4,TX,5e4,0,0,10000,11.18,1,0
917xx,B3,B,11.71,3,710,714,0,91.8,CA,5e4,0,0,10000,16.01,5,0
900xx,B3,B,11.71,3,690,694,1,29.7,CA,76e3,0,0,6000,2.4,1,1
605xx,B1,B,9.91,3,730,734,0,93.9,IL,92e3,0,0,15000,29.44,2,0
103xx,C2,C,14.27,3,695,699,1,57.6,NY,6e4,0,0,15000,15.22,9,1
150xx,D2,D,16.77,6,675,679,0,59.5,PA,50004.0,0,0,5000,13.97,2,1
326xx,B3,B,11.71,3,680,684,0,37.7,FL,106e3,0,0,4000,5.63,1,0
564xx,B3,B,11.71,3,695,699,0,59.1,MN,25e3,0,0,8500,12.19,1,0
141xx,A3,A,7.51,3,735,739,0,86.9,NY,17108.0,0,0,4375,20.34,7,0
080xx,A4,A,7.9,3,760,764,0,27.4,NJ,75e3,0,0,31825,14.03,5,0
330xx,C5,C,15.96,6,690,694,1,63.6,FL,29120.0,0,0,10000,22.83,2,0
974xx,A5,A,8.9,3,700,704,0,29.3,OR,24044.0,0,0,5000,11.93,2,0
934xx,C5,C,15.96,3,675,679,1,60.5,CA,34e3,0,0,7000,6.35,7,0
405xx,B2,B,10.65,3,720,724,2,57.2,KY,41e3,0,0,12400,11.8,1,0
946xx,B1,B,9.91,3,705,709,0,13.3,CA,55596.0,0,0,10800,5.5,2,0
445xx,A4,A,7.9,3,730,734,0,50.4,OH,45e3,0,0,15000,8.48,1,0
850xx,B4,B,12.42,3,695,699,1,66.5,AZ,36852.0,0,0,6000,10.62,1,0
604xx,B5,B,12.69,6,735,739,3,50.0,IL,27e3,0,0,12500,16.04,1,0
292xx,A3,A,7.51,3,760,764,0,18.1,SC,68004.0,0,0,9600,6.63,4,0
088xx,A4,A,7.9,3,725,729,0,21.0,NJ,62300.0,0,0,12000,16.7,1,0
180xx,D5,D,18.25,3,670,674,0,98.1,PA,65e3,0,0,3000,17.39,9,0
029xx,D2,D,16.77,3,690,694,0,99.0,RI,55e3,0,0,4400,20.01,1,0
700xx,A1,A,6.03,3,790,794,1,32.5,LA,45600.0,0,0,6000,5.34,1,0
010xx,B1,B,9.91,3,725,729,1,13.4,MA,8e4,0,0,14000,10.0,6,0
441xx,A5,A,8.9,3,705,709,0,62.1,OH,1e5,0,0,5000,16.33,1,1
104xx,B2,B,10.65,3,700,704,0,52.3,NY,27e3,0,0,10000,11.47,6,0
067xx,A1,A,6.03,3,790,794,1,19.5,CT,6e4,0,0,10000,12.74,1,0
061xx,A2,A,6.62,3,750,754,0,36.4,CT,7e4,0,0,11000,10.85,5,0
616xx,B1,B,9.91,3,730,734,2,63.7,IL,8e4,0,0,15000,9.12,8,1
913xx,B1,B,9.91,3,725,729,0,62.0,CA,11e4,0,0,25600,15.71,9,0
947xx,B2,B,10.65,3,700,704,0,92.9,CA,4e4,0,0,7000,7.38,1,0
914xx,C5,C,15.96,3,675,679,2,90.8,CA,5e4,0,0,12000,20.88,4,1
765xx,B1,B,9.91,3,730,734,1,52.1,TX,46e3,0,0,12000,8.11,1,0
980xx,E4,E,19.91,6,680,684,1,97.6,WA,5e4,0,0,21000,21.58,7,1
017xx,E4,E,19.91,6,665,669,3,75.1,MA,81e3,0,0,16000,20.52,7,0
972xx,B4,B,12.42,3,685,689,0,72.7,OR,39e3,0,0,10000,18.58,1,0
752xx,B2,B,10.65,3,715,719,3,59.1,TX,51400.0,0,0,10000,19.14,2,0
787xx,D2,D,16.77,3,680,684,2,91.2,TX,33e3,0,0,7100,24.0,1,0
077xx,B5,B,12.69,6,730,734,0,58.9,NJ,3e4,0,0,13000,13.72,1,0
951xx,D3,D,17.27,6,705,709,1,58.9,CA,4e4,0,0,17500,19.47,6,0
540xx,C3,C,14.65,6,720,724,2,57.4,WI,5e4,0,0,17675,16.46,1,0
225xx,D2,D,16.77,3,660,664,3,66.9,VA,62e3,0,0,8000,21.64,1,0
440xx,B2,B,10.65,6,755,759,1,30.1,OH,45996.0,0,0,10000,21.73,1,1
437xx,B2,B,10.65,3,700,704,1,45.9,OH,55e3,0,0,3500,5.39,7,0
559xx,D3,D,17.27,6,690,694,0,70.8,MN,3e4,1,113,12500,13.16,5,1
921xx,C2,C,14.27,3,695,699,1,83.4,CA,44544.0,0,0,16425,22.71,4,0
912xx,F2,F,21.28,6,675,679,3,73.9,CA,75e3,0,0,8200,12.48,4,1
325xx,C3,C,14.65,3,685,689,1,79.5,FL,61e3,0,0,15000,11.88,2,0
300xx,D4,D,17.58,6,685,689,0,79.4,GA,44e3,1,105,20975,18.79,5,0
923xx,D2,D,16.77,3,660,664,0,67.5,CA,75e3,0,0,6400,20.22,5,1
352xx,C1,C,13.49,3,670,674,0,83.2,AL,33600.0,0,0,3000,18.11,1,0
013xx,D2,D,16.77,3,675,679,1,97.0,MA,5e4,0,0,12000,20.57,3,0
146xx,A5,A,8.9,3,720,724,0,55.0,NY,15e4,0,0,14400,14.85,1,0
074xx,C3,C,14.65,3,675,679,2,78.5,NJ,9e4,0,0,12000,16.56,1,0
786xx,C1,C,13.49,3,690,694,3,65.0,TX,48e3,0,0,11000,21.82,1,0
937xx,F3,F,21.67,6,680,684,2,91.2,CA,75e3,1,97,7250,24.82,1,0
799xx,A4,A,7.9,3,765,769,1,6.7,TX,52e3,0,0,15000,9.65,1,0
331xx,E4,E,19.91,6,660,664,0,77.8,FL,65e3,0,0,18000,6.81,1,0
115xx,D3,D,17.27,6,725,729,1,53.3,NY,15e4,0,0,35000,7.51,3,0
191xx,C2,C,14.27,3,680,684,1,81.3,PA,68e3,0,0,10000,15.39,2,0
114xx,B5,B,12.69,3,690,694,0,74.8,NY,42e3,0,0,11800,9.86,6,0
908xx,A1,A,6.03,3,760,764,0,13.9,CA,53e3,0,0,4500,4.44,4,0
902xx,B5,B,12.69,3,680,684,2,82.3,CA,35e3,0,0,7000,11.35,1,0
902xx,B4,B,12.42,3,700,704,3,78.7,CA,6e4,0,0,9200,19.96,2,0
992xx,D3,D,17.27,6,700,704,2,79.4,WA,28e3,0,0,14000,6.34,4,0
750xx,B2,B,10.65,6,750,754,0,78.3,TX,42e3,0,0,4500,5.4,1,0
852xx,D1,D,16.29,3,680,684,0,96.4,AZ,88365.0,0,0,12000,16.85,9,0
937xx,C1,C,13.49,3,685,689,1,27.6,CA,72e3,0,0,12000,21.33,4,0
750xx,B2,B,10.65,3,700,704,0,78.4,TX,62e3,0,0,12000,23.94,1,0
559xx,B2,B,10.65,3,685,689,0,78.1,MN,43680.0,0,0,7000,5.38,3,0
104xx,E3,E,19.42,6,685,689,2,88.4,NY,12e4,0,0,8200,2.8,3,0
950xx,B5,B,12.69,3,695,699,2,51.2,CA,66e3,0,0,10500,20.73,1,0
329xx,B3,B,11.71,3,675,679,0,52.4,FL,39120.0,1,33,7000,21.01,4,0
226xx,F4,F,22.06,6,670,674,2,89.7,VA,85e3,0,0,15300,20.58,6,0
226xx,B3,B,11.71,6,740,744,0,46.3,VA,47800.0,0,0,20000,10.04,4,0
992xx,D3,D,17.27,6,700,704,2,86.1,WA,45e3,0,0,17500,21.31,7,1
614xx,A1,A,6.03,3,745,749,0,13.4,IL,83e3,0,0,3500,2.31,1,0
802xx,B5,B,12.69,6,695,699,0,50.0,CO,81e3,0,0,6000,13.66,1,0
902xx,B1,B,9.91,3,710,714,2,47.7,CA,25e3,0,0,6200,20.64,2,1
672xx,D4,D,17.58,6,695,699,0,87.1,KS,65e3,0,0,16000,15.56,7,0
083xx,A5,A,8.9,3,700,704,0,36.8,NJ,28800.0,0,0,6000,13.17,8,0
100xx,B1,B,9.91,3,695,699,0,79.6,NY,135e3,0,0,7200,6.12,6,0
770xx,A5,A,8.9,3,720,724,0,60.5,TX,5e4,0,0,9500,8.18,7,0
787xx,D2,D,16.77,6,700,704,0,79.7,TX,38e3,0,0,18825,23.18,1,1
926xx,B2,B,10.65,3,725,729,0,55.2,CA,45e3,0,0,24000,14.8,1,0
931xx,C1,C,13.49,3,665,669,0,83.8,CA,8e4,0,0,6000,11.58,1,0
