"","last_fico_range_high","last_fico_range_low","pub_rec_bankruptcies","revol_util","inq_last_6mths","is_rent","is_bad"
"1",744,740,0,83.7,1,TRUE,0
"2",499,0,0,9.4,5,TRUE,1
"3",719,715,0,98.5,2,TRUE,0
"4",604,600,0,21,1,TRUE,0
"5",694,690,0,53.9,0,TRUE,0
"6",679,675,0,28.3,3,TRUE,0
"7",654,650,0,85.6,1,TRUE,0
"8",689,685,0,87.5,2,TRUE,0
"9",499,0,0,32.6,2,FALSE,1
"10",519,515,0,36.5,0,TRUE,1
"11",734,730,0,20.6,2,FALSE,0
"12",669,665,0,67.1,0,FALSE,0
"13",619,615,0,91.7,1,TRUE,1
"14",734,730,0,43.1,2,TRUE,0
"15",654,650,0,55.5,2,TRUE,1
"16",769,765,0,81.5,1,TRUE,0
"17",639,635,0,70.2,2,TRUE,0
"18",794,790,0,16,0,FALSE,0
"19",559,555,0,37.73,0,FALSE,0
"20",644,640,0,23.1,0,TRUE,0
"21",684,680,0,85.6,3,TRUE,0
"22",534,530,0,90.3,0,TRUE,1
"23",779,775,0,82.4,0,FALSE,0
"24",684,680,0,91.8,0,TRUE,0
"25",499,0,0,29.7,1,TRUE,1
"26",734,730,0,93.9,0,FALSE,0
"27",509,505,0,57.6,1,TRUE,1
"28",579,575,0,59.5,0,TRUE,1
"29",689,685,0,37.7,0,FALSE,0
"30",599,595,0,59.1,0,TRUE,0
"31",734,730,0,86.9,0,FALSE,0
"32",659,655,0,27.4,0,FALSE,0
"33",564,560,0,63.6,1,TRUE,0
"34",704,700,0,29.3,0,TRUE,0
"35",734,730,0,60.5,1,TRUE,0
"36",784,780,0,57.2,2,TRUE,0
"37",679,675,0,13.3,0,TRUE,0
"38",739,735,0,50.4,0,TRUE,0
"39",749,745,0,66.5,1,TRUE,0
"40",604,600,0,50,3,TRUE,0
"41",829,825,0,18.1,0,TRUE,0
"42",774,770,0,21,0,TRUE,0
"43",689,685,0,98.1,0,FALSE,0
"44",594,590,0,99,0,TRUE,0
"45",784,780,0,32.5,1,FALSE,0
"46",734,730,0,13.4,1,TRUE,0
"47",639,635,0,62.1,0,FALSE,1
"48",689,685,0,52.3,0,TRUE,0
"49",789,785,0,19.5,1,TRUE,0
"50",794,790,0,36.4,0,TRUE,0
"51",614,610,0,63.7,2,FALSE,1
"52",659,655,0,62,0,TRUE,0
"53",699,695,0,92.9,0,TRUE,0
"54",579,575,0,90.8,2,TRUE,1
"55",784,780,0,52.1,1,TRUE,0
"56",614,610,0,97.6,1,TRUE,1
"57",714,710,0,75.1,3,TRUE,0
"58",689,685,0,72.7,0,FALSE,0
"59",749,745,0,59.1,3,TRUE,0
"60",649,645,0,91.2,2,FALSE,0
"61",709,705,0,58.9,0,FALSE,0
"62",664,660,0,58.9,1,TRUE,0
"63",599,595,0,57.4,2,TRUE,0
